filename,class_name,x,y,w,h
000073.jpg,boat,193,109,63,79
000073.jpg,person,50,144,74,160
000077.jpg,cat,166,112,116,223
000077.jpg,cat,69,112,136,223
000078.jpg,dog,110,130,206,180
000078.jpg,dog,119,75,154,105
000081.jpg,sofa,156,148,102,83
000081.jpg,sofa,51,164,95,105
000081.jpg,person,121,130,64,50
000081.jpg,person,179,138,46,81
000081.jpg,person,52,166,49,115
000081.jpg,person,23,127,20,32
000081.jpg,person,164,195,60,59
000081.jpg,person,118,183,61,77
000081.jpg,person,133,212,24,24
000083.jpg,car,125,115,151,186
000083.jpg,person,183,46,25,89
000083.jpg,person,74,43,25,68
000083.jpg,person,17,75,33,124
000083.jpg,person,39,69,24,73
000083.jpg,person,26,72,23,75
000089.jpg,person,45,108,73,208
000089.jpg,person,118,176,148,95
000089.jpg,person,176,152,55,135
000089.jpg,chair,76,102,132,144
000091.jpg,car,72,157,31,26
000091.jpg,car,42,154,11,12
000091.jpg,car,49,157,16,14
000093.jpg,dog,116,125,76,85
000093.jpg,chair,124,113,200,221
000095.jpg,train,103,117,188,162
000095.jpg,train,26,124,51,76
000099.jpg,cat,73,98,142,105
000101.jpg,chair,119,82,73,86
000101.jpg,person,99,134,161,181
000102.jpg,sofa,205,146,38,83
000102.jpg,sofa,106,122,103,84
000104.jpg,tvmonitor,202,126,43,104
000104.jpg,person,164,137,68,174
000104.jpg,person,64,114,126,219
000107.jpg,sheep,218,120,13,32
000107.jpg,cow,141,98,17,17
000107.jpg,sheep,112,94,8,14
000109.jpg,bird,112,109,208,197
000110.jpg,person,42,163,14,48
000110.jpg,person,31,172,14,67
000110.jpg,person,18,160,9,42
000112.jpg,dog,117,112,139,69
000112.jpg,chair,203,81,20,16
000113.jpg,person,141,122,34,107
000117.jpg,aeroplane,112,110,223,163
000118.jpg,cat,100,141,52,166
000120.jpg,dog,113,111,168,87
000121.jpg,tvmonitor,163,88,100,143
000121.jpg,tvmonitor,61,90,103,146
000122.jpg,cat,110,115,186,212
000123.jpg,train,80,109,160,188
000125.jpg,bicycle,207,147,34,34
000125.jpg,person,202,123,14,21
000125.jpg,person,179,144,15,38
000125.jpg,person,165,146,13,38
000129.jpg,bicycle,109,157,124,134
000129.jpg,bicycle,196,166,56,116
000129.jpg,bicycle,23,130,44,131
000129.jpg,person,22,82,44,162
000129.jpg,person,116,104,133,207
000129.jpg,person,197,113,55,210
000130.jpg,boat,113,75,222,148
000131.jpg,car,107,123,212,112
000131.jpg,person,66,94,22,19
000131.jpg,person,92,92,19,22
000132.jpg,bus,72,114,106,158
000133.jpg,person,120,116,167,216
000133.jpg,horse,119,163,102,122
000133.jpg,person,24,23,27,45
000133.jpg,horse,45,36,48,21
000134.jpg,car,109,134,218,130
000138.jpg,person,36,115,66,155
000138.jpg,person,96,107,62,135
000138.jpg,person,149,130,97,188
000138.jpg,person,193,144,61,159
000140.jpg,dog,110,125,125,86
000140.jpg,sofa,112,144,223,161
000141.jpg,bird,99,120,176,183
000142.jpg,car,110,104,197,111
000143.jpg,cat,150,127,148,193
000146.jpg,person,122,138,58,90
000147.jpg,chair,22,84,14,28
000147.jpg,chair,43,88,17,24
000147.jpg,chair,72,92,13,17
000147.jpg,chair,106,96,9,15
000147.jpg,chair,141,94,11,17
000147.jpg,chair,174,92,13,22
000147.jpg,chair,202,88,13,25
000150.jpg,horse,113,115,60,125
000150.jpg,person,164,54,12,36
000150.jpg,person,191,54,9,39
000150.jpg,person,217,51,7,30
000150.jpg,person,222,51,5,33
000153.jpg,car,133,101,54,26
000153.jpg,car,68,38,13,8
000153.jpg,car,37,71,32,7
000153.jpg,car,15,69,27,8
000154.jpg,boat,95,115,138,128
000154.jpg,boat,201,137,8,13
000156.jpg,sofa,95,127,152,167
000156.jpg,car,208,74,29,24
000156.jpg,car,188,77,14,17
000158.jpg,bird,104,87,32,74
000159.jpg,person,116,58,23,51
000159.jpg,car,112,117,223,213
000161.jpg,car,123,122,153,204
000161.jpg,car,42,139,24,53
000162.jpg,tvmonitor,154,157,33,43
000162.jpg,person,113,153,51,135
000163.jpg,person,81,91,115,159
000163.jpg,motorbike,108,131,193,149
000164.jpg,motorbike,108,150,114,116
000164.jpg,person,165,125,69,192
000165.jpg,person,132,128,184,193
000169.jpg,car,113,105,205,172
000169.jpg,person,59,18,26,32
000169.jpg,car,210,68,27,104
000169.jpg,person,193,40,11,28
000169.jpg,person,211,36,15,24
000169.jpg,car,26,60,41,58
000170.jpg,bottle,44,79,10,39
000170.jpg,bottle,26,88,14,40
000170.jpg,bottle,151,106,13,35
000170.jpg,bottle,195,105,8,23
000170.jpg,person,10,89,18,69
000170.jpg,person,104,119,205,205
000171.jpg,dog,39,156,76,52
000171.jpg,person,140,115,168,211
000173.jpg,person,107,84,93,109
000173.jpg,horse,113,123,102,187
000174.jpg,person,127,114,127,221
000177.jpg,diningtable,116,157,180,133
000177.jpg,person,189,157,70,134
000177.jpg,person,174,134,60,165
000177.jpg,person,156,90,39,70
000177.jpg,person,138,78,26,50
000177.jpg,person,95,69,44,57
000177.jpg,person,65,78,17,43
000177.jpg,person,52,95,37,86
000177.jpg,person,22,145,43,157
000180.jpg,car,114,139,216,147
000184.jpg,boat,140,89,22,51
000184.jpg,boat,174,99,13,26
000184.jpg,boat,210,103,10,22
000184.jpg,boat,70,112,139,223
000187.jpg,tvmonitor,54,129,107,144
000189.jpg,bird,117,115,177,183
000190.jpg,bus,207,140,33,45
000190.jpg,bus,125,142,39,25
000190.jpg,bus,69,146,13,38
000190.jpg,bus,45,155,45,59
000190.jpg,bus,13,156,24,62
000190.jpg,person,143,152,5,17
000190.jpg,person,126,152,3,16
000190.jpg,person,123,150,2,7
000190.jpg,person,117,153,4,17
000190.jpg,person,113,153,4,14
000190.jpg,person,94,154,4,15
000190.jpg,person,86,155,4,20
000190.jpg,person,81,155,3,17
000192.jpg,person,106,131,108,186
000192.jpg,chair,11,175,21,97
000193.jpg,person,130,113,188,222
000193.jpg,person,51,121,101,207
000193.jpg,sofa,112,149,223,149
000194.jpg,horse,114,130,107,188
000194.jpg,person,111,78,62,117
000194.jpg,person,202,104,13,55
000198.jpg,train,100,125,56,70
000200.jpg,person,29,84,34,133
000200.jpg,person,43,136,73,175
000200.jpg,person,88,122,44,203
000200.jpg,person,140,121,78,207
000200.jpg,person,200,118,49,212
000200.jpg,bottle,169,207,11,33
000200.jpg,bottle,110,160,13,58
000203.jpg,chair,49,167,52,112
000207.jpg,bus,38,118,75,52
000208.jpg,diningtable,37,116,74,79
000208.jpg,chair,186,179,76,91
000208.jpg,chair,67,99,28,63
000208.jpg,chair,43,113,32,79
000208.jpg,chair,8,128,14,36
000208.jpg,sofa,143,137,104,94
000209.jpg,cat,93,135,173,179
000210.jpg,car,175,131,12,8
000210.jpg,person,204,134,11,14
000210.jpg,person,147,132,5,7
000210.jpg,person,12,136,10,16
000211.jpg,cow,65,182,88,52
000214.jpg,horse,158,112,132,223
000215.jpg,cat,108,118,87,158
000218.jpg,dog,142,107,58,128
000218.jpg,chair,69,59,43,116
000218.jpg,person,57,75,113,149
000219.jpg,motorbike,145,179,128,59
000220.jpg,car,113,125,190,99
000220.jpg,car,208,84,33,32
000220.jpg,person,129,100,21,24
000221.jpg,car,113,111,161,119
000222.jpg,diningtable,108,162,56,66
000222.jpg,person,137,183,50,82
000222.jpg,person,76,182,51,83
000222.jpg,bottle,102,146,6,26
000222.jpg,bottle,107,140,5,26
000222.jpg,person,161,109,16,40
000222.jpg,person,77,123,12,18
000222.jpg,person,82,122,21,32
000222.jpg,person,126,121,26,30
000222.jpg,person,140,130,18,29
000222.jpg,person,155,161,25,72
000222.jpg,person,60,164,31,81
000222.jpg,person,211,197,25,55
000222.jpg,chair,170,185,13,79
000222.jpg,chair,170,145,10,31
000224.jpg,tvmonitor,57,148,82,106
000224.jpg,bottle,202,185,44,78
000225.jpg,sheep,108,121,103,112
000225.jpg,sheep,11,35,20,40
000228.jpg,aeroplane,91,104,99,98
000229.jpg,diningtable,116,174,146,99
000229.jpg,person,198,176,39,91
000229.jpg,person,173,137,41,82
000229.jpg,person,184,101,24,41
000229.jpg,person,129,102,44,48
000229.jpg,person,80,119,28,66
000229.jpg,person,62,145,52,100
000229.jpg,person,24,168,47,112
000229.jpg,bottle,165,200,13,41
000229.jpg,bottle,21,85,7,22
000229.jpg,chair,215,141,17,56
000232.jpg,cow,95,127,147,145
000232.jpg,person,108,37,10,36
000232.jpg,boat,202,57,43,29
000232.jpg,boat,20,42,39,26
000232.jpg,boat,41,47,32,13
000233.jpg,sheep,170,111,92,96
000233.jpg,car,101,58,202,114
000235.jpg,chair,125,188,33,72
000235.jpg,chair,91,209,60,29
000235.jpg,chair,22,199,43,50
000235.jpg,chair,192,168,24,42
000235.jpg,diningtable,71,191,106,65
000235.jpg,sofa,195,133,19,37
000235.jpg,pottedplant,86,120,7,41
000236.jpg,bird,81,142,84,85
000241.jpg,boat,192,138,65,58
000241.jpg,boat,45,96,37,62
000241.jpg,boat,133,105,46,50
000242.jpg,cat,112,98,222,191
000244.jpg,sheep,61,145,18,19
000245.jpg,car,113,126,211,96
000245.jpg,person,142,93,12,19
000246.jpg,dog,88,106,121,159
000249.jpg,chair,56,174,52,96
000249.jpg,chair,60,127,23,21
000249.jpg,chair,80,122,21,17
000249.jpg,chair,100,172,45,96
000249.jpg,chair,131,164,22,84
000249.jpg,chair,131,116,20,17
000249.jpg,chair,153,117,31,73
000249.jpg,diningtable,95,161,99,84
000250.jpg,diningtable,106,163,212,122
000250.jpg,bottle,55,126,24,103
000251.jpg,car,37,218,73,12
000251.jpg,car,21,207,40,11
000251.jpg,car,92,209,89,29
000251.jpg,car,202,211,45,27
000251.jpg,person,30,201,9,18
000251.jpg,person,10,195,8,13
000251.jpg,person,15,199,9,14
000256.jpg,aeroplane,112,107,216,89
000257.jpg,tvmonitor,59,17,45,33
000257.jpg,person,54,154,90,139
000257.jpg,person,145,132,133,183
000259.jpg,person,150,112,147,223
000259.jpg,person,61,82,120,163
000262.jpg,car,189,167,70,114
000263.jpg,car,112,123,201,44
000263.jpg,car,21,191,41,65
000266.jpg,dog,141,116,165,215
000266.jpg,sofa,112,112,223,224
000268.jpg,aeroplane,138,129,115,120
000268.jpg,aeroplane,59,132,117,185
000269.jpg,bottle,87,197,9,38
000269.jpg,bottle,140,188,13,45
000269.jpg,bottle,112,9,9,17
000269.jpg,bottle,74,9,8,18
000269.jpg,bottle,66,10,7,18
000269.jpg,person,162,91,121,106
000269.jpg,person,75,108,69,136
000269.jpg,person,54,157,74,134
000269.jpg,person,143,118,84,134
000269.jpg,person,165,150,98,147
000270.jpg,train,133,105,131,44
000275.jpg,person,128,82,64,117
000275.jpg,horse,112,126,170,151
000276.jpg,person,107,108,60,70
000276.jpg,person,126,196,59,57
000276.jpg,person,51,196,65,57
000278.jpg,dog,178,159,92,131
000278.jpg,person,118,139,137,171
000282.jpg,chair,183,190,67,66
000282.jpg,person,180,121,67,117
000282.jpg,person,132,129,56,190
000282.jpg,person,45,122,88,205
000282.jpg,person,79,154,107,141
000285.jpg,person,154,135,107,178
000285.jpg,person,60,141,87,166
000285.jpg,chair,181,173,30,103
000285.jpg,chair,78,178,49,93
000288.jpg,person,221,153,7,71
000288.jpg,person,207,150,16,81
000288.jpg,person,192,132,9,59
000288.jpg,person,199,130,4,50
000288.jpg,person,189,138,8,57
000288.jpg,person,186,150,7,38
000288.jpg,person,173,142,13,73
000288.jpg,person,159,142,22,56
000288.jpg,person,5,154,9,102
000288.jpg,person,8,119,14,90
000288.jpg,car,24,117,21,42
000288.jpg,bus,101,101,141,173
000289.jpg,car,86,111,129,89
000294.jpg,bird,176,113,56,213
000294.jpg,bird,50,139,50,166
000296.jpg,car,208,98,33,36
000296.jpg,boat,113,110,186,66
000298.jpg,person,116,113,71,189
000302.jpg,car,221,178,5,26
000302.jpg,car,215,157,5,13
000302.jpg,car,170,169,89,69
000302.jpg,car,126,152,32,30
000302.jpg,car,20,184,39,80
000302.jpg,person,71,182,23,73
000302.jpg,motorbike,75,191,41,56
000303.jpg,car,115,95,217,143
000303.jpg,car,216,70,16,56
000303.jpg,car,212,48,25,15
000303.jpg,car,21,52,41,30
000303.jpg,car,19,63,37,30
000303.jpg,car,12,91,22,51
000304.jpg,tvmonitor,97,75,96,64
000305.jpg,bicycle,105,164,188,120
000305.jpg,person,128,124,179,177
000306.jpg,cow,52,66,25,51
000306.jpg,cow,66,78,30,64
000306.jpg,cow,121,85,29,52
000306.jpg,cow,153,82,34,57
000307.jpg,pottedplant,112,113,223,222
000307.jpg,pottedplant,9,180,17,87
000308.jpg,person,176,87,37,54
000308.jpg,person,119,117,38,87
000308.jpg,person,87,142,44,100
000308.jpg,person,87,84,28,32
000308.jpg,person,110,78,27,28
000308.jpg,diningtable,96,135,163,108
000311.jpg,car,108,118,173,186
000312.jpg,train,113,112,223,222
000317.jpg,car,118,118,129,44
000318.jpg,car,170,83,51,60
000318.jpg,car,112,76,45,42
000320.jpg,car,192,8,19,9
000320.jpg,car,172,8,19,7
000320.jpg,car,150,7,27,13
000320.jpg,person,111,129,222,189
000321.jpg,person,99,140,138,130
000322.jpg,person,108,113,204,223
000323.jpg,person,174,113,100,222
000323.jpg,person,71,113,131,222
000325.jpg,aeroplane,134,79,179,82
000328.jpg,horse,71,139,89,80
000328.jpg,horse,11,114,22,81
000328.jpg,horse,167,113,60,93
000328.jpg,horse,134,114,16,48
000328.jpg,person,65,97,26,111
000328.jpg,person,85,78,17,44
000328.jpg,person,174,92,23,90
000328.jpg,person,136,92,21,58
000329.jpg,car,136,149,12,15
000329.jpg,car,103,154,10,11
000329.jpg,car,119,147,7,8
000331.jpg,chair,162,160,121,111
000331.jpg,chair,59,145,46,91
000331.jpg,chair,15,194,29,60
000331.jpg,person,151,162,125,95
000332.jpg,horse,76,105,103,143
000334.jpg,car,69,107,106,50
000336.jpg,dog,107,113,210,218
000337.jpg,bicycle,53,128,38,73
000337.jpg,bicycle,145,164,94,118
000337.jpg,person,22,42,17,49
000337.jpg,person,63,17,19,29
000337.jpg,person,63,47,24,62
000337.jpg,person,119,36,21,51
000337.jpg,person,52,104,43,97
000337.jpg,person,143,117,75,198
000337.jpg,person,91,62,25,34
000337.jpg,person,110,73,12,41
000338.jpg,person,93,70,9,17
000338.jpg,car,104,93,135,87
000340.jpg,bird,175,148,51,139
000340.jpg,bird,58,88,51,130
000343.jpg,car,115,119,208,149
000344.jpg,bottle,118,99,130,197
000347.jpg,horse,117,110,161,217
000349.jpg,diningtable,128,147,114,138
000349.jpg,chair,179,146,71,142
000349.jpg,chair,144,66,34,41
000349.jpg,chair,69,116,47,124
000349.jpg,chair,110,160,71,128
000349.jpg,tvmonitor,20,40,39,77
000352.jpg,person,41,94,52,107
000352.jpg,person,76,95,35,108
000352.jpg,person,114,102,50,134
000352.jpg,person,178,137,92,174
000352.jpg,sofa,115,142,219,164
000354.jpg,cat,114,147,91,155
000355.jpg,car,101,111,181,173
000359.jpg,dog,169,167,65,95
000359.jpg,person,81,111,136,210
000359.jpg,chair,119,114,198,153
000363.jpg,bird,62,85,72,151
000363.jpg,bird,148,153,152,142
000367.jpg,bottle,112,116,20,84
000367.jpg,bottle,162,142,26,139
000367.jpg,bottle,183,156,13,94
000367.jpg,bottle,137,139,18,128
000367.jpg,car,208,123,31,27
000367.jpg,car,112,188,223,72
000367.jpg,person,105,99,54,119
000370.jpg,boat,78,108,71,91
000370.jpg,boat,149,113,79,81
000372.jpg,person,141,106,41,186
000372.jpg,horse,173,91,30,28
000372.jpg,horse,74,109,78,189
000373.jpg,car,114,178,202,49
000374.jpg,motorbike,123,137,202,173
000374.jpg,person,99,103,86,204
000374.jpg,person,39,51,38,97
000374.jpg,person,149,43,17,48
000374.jpg,person,138,45,11,48
000374.jpg,person,104,37,14,26
000374.jpg,person,16,51,13,50
000374.jpg,person,217,48,12,54
000374.jpg,person,206,46,11,48
000374.jpg,person,165,43,6,37
000379.jpg,bicycle,110,107,178,194
000380.jpg,bicycle,112,113,222,220
000381.jpg,diningtable,114,153,220,142
000381.jpg,chair,67,95,39,49
000381.jpg,chair,24,124,47,69
000381.jpg,chair,33,197,66,52
000381.jpg,bottle,98,10,11,13
000382.jpg,boat,50,149,96,149
000382.jpg,person,65,126,11,15
000387.jpg,car,109,92,214,159
000391.jpg,pottedplant,117,123,183,201
000394.jpg,diningtable,156,168,136,111
000394.jpg,person,63,137,100,173
000394.jpg,person,77,99,154,170
000394.jpg,person,207,29,20,27
000394.jpg,person,199,30,9,23
000395.jpg,bird,119,111,146,146
000396.jpg,car,98,128,120,53
000400.jpg,cat,102,121,192,197
000403.jpg,cat,144,138,147,168
000404.jpg,car,118,138,117,156
000406.jpg,car,38,179,27,17
000406.jpg,person,52,179,7,24
000406.jpg,person,45,183,8,19
000406.jpg,person,109,176,5,17
000406.jpg,person,128,179,5,11
000406.jpg,car,198,181,14,14
000407.jpg,person,126,70,55,98
000407.jpg,horse,109,119,158,147
000408.jpg,cow,119,137,177,172
000411.jpg,person,133,163,29,61
000411.jpg,person,202,164,32,57
000411.jpg,person,164,151,17,28
000411.jpg,person,97,170,29,71
000411.jpg,person,35,172,33,71
000411.jpg,person,9,173,17,68
000411.jpg,person,72,167,23,76
000411.jpg,person,55,149,11,24
000411.jpg,person,46,144,12,13
000411.jpg,person,152,146,10,20
000416.jpg,sheep,163,116,31,65
000416.jpg,sheep,99,126,35,48
000416.jpg,sheep,126,119,57,54
000417.jpg,cow,122,136,87,175
000419.jpg,motorbike,114,108,207,169
000419.jpg,person,10,71,17,122
000419.jpg,person,38,19,22,36
000419.jpg,person,215,53,18,103
000420.jpg,car,124,112,178,190
000424.jpg,bird,45,129,31,39
000424.jpg,bird,106,155,43,39
000424.jpg,bird,163,159,33,30
000424.jpg,bird,201,139,34,34
000427.jpg,motorbike,95,100,155,168
000428.jpg,person,101,138,134,161
000428.jpg,diningtable,158,199,133,48
000428.jpg,chair,83,161,148,127
000430.jpg,cat,113,98,221,194
000431.jpg,aeroplane,118,134,208,162
000431.jpg,car,47,196,18,14
000433.jpg,chair,154,135,112,171
000433.jpg,person,146,125,116,182
000435.jpg,horse,142,136,99,126
000435.jpg,person,120,118,29,135
000438.jpg,person,151,131,86,186
000439.jpg,train,69,127,138,28
000443.jpg,person,27,81,43,145
000443.jpg,dog,113,93,68,73
000446.jpg,person,121,144,67,138
000446.jpg,person,110,125,110,173
000448.jpg,diningtable,132,151,153,147
000448.jpg,person,122,67,38,66
000448.jpg,person,88,71,22,40
000448.jpg,person,52,55,24,24
000448.jpg,person,45,149,80,150
000448.jpg,person,61,113,80,116
000448.jpg,person,13,76,21,66
000448.jpg,person,136,76,47,73
000448.jpg,person,170,89,39,81
000448.jpg,person,189,133,69,138
000448.jpg,person,159,179,69,89
000450.jpg,train,108,103,171,175
000454.jpg,dog,103,118,206,213
000459.jpg,chair,91,47,78,60
000459.jpg,diningtable,118,140,212,165
000460.jpg,chair,164,131,95,182
000461.jpg,car,74,111,141,88
000462.jpg,cow,104,113,208,222
000463.jpg,motorbike,111,155,47,113
000463.jpg,person,113,133,28,146
000463.jpg,car,220,74,8,40
000464.jpg,cow,86,127,87,28
000464.jpg,cow,89,111,109,42
000468.jpg,person,73,144,145,160
000468.jpg,person,113,155,218,138
000469.jpg,car,105,102,196,171
000470.jpg,horse,136,127,99,147
000470.jpg,horse,109,121,75,131
000470.jpg,horse,211,119,26,84
000470.jpg,person,71,108,13,59
000474.jpg,car,112,154,177,121
000474.jpg,boat,26,65,38,57
000474.jpg,boat,103,73,25,46
000474.jpg,boat,158,79,18,26
000474.jpg,boat,198,93,17,9
000476.jpg,person,108,144,104,157
000476.jpg,dog,138,201,89,47
000476.jpg,sofa,86,149,168,113
000477.jpg,bus,7,79,13,71
000477.jpg,bus,20,82,14,32
000477.jpg,car,32,96,7,15
000477.jpg,bicycle,52,147,5,41
000477.jpg,person,53,123,17,72
000477.jpg,person,74,127,13,77
000477.jpg,person,83,114,6,50
000477.jpg,person,95,142,17,102
000477.jpg,person,108,133,11,81
000477.jpg,person,124,134,19,106
000477.jpg,person,135,142,20,106
000477.jpg,person,143,150,17,125
000477.jpg,person,152,151,20,145
000477.jpg,person,164,156,30,135
000477.jpg,person,186,154,31,140
000477.jpg,person,208,154,33,140
000480.jpg,person,159,160,56,127
000480.jpg,person,77,161,51,124
000480.jpg,person,27,163,50,120
000480.jpg,aeroplane,109,117,217,154
000482.jpg,train,193,128,62,84
000482.jpg,train,70,129,140,185
000482.jpg,person,20,80,11,23
000483.jpg,horse,119,124,95,160
000483.jpg,person,123,78,51,114
000484.jpg,pottedplant,65,76,61,103
000484.jpg,pottedplant,114,123,185,201
000486.jpg,cat,111,96,181,170
000489.jpg,bird,117,124,33,26
000491.jpg,cow,103,113,205,223
000492.jpg,chair,174,188,54,73
000492.jpg,chair,169,169,35,66
000492.jpg,chair,54,198,97,53
000492.jpg,diningtable,84,180,144,87
000494.jpg,car,111,116,220,179
000496.jpg,diningtable,214,166,19,72
000496.jpg,chair,202,158,28,65
000498.jpg,bottle,63,47,117,89
000498.jpg,person,108,168,60,108
000499.jpg,person,135,107,65,133
000499.jpg,motorbike,127,137,129,110
000500.jpg,bicycle,164,165,64,118
000500.jpg,person,69,127,58,194
000500.jpg,person,136,62,15,38
000500.jpg,person,108,62,10,38
000500.jpg,person,94,61,9,20
000500.jpg,person,87,53,6,15
000500.jpg,person,49,56,12,23
000500.jpg,person,39,54,10,20
000501.jpg,dog,107,115,188,211
000503.jpg,sofa,196,154,57,139
000503.jpg,sofa,34,151,55,128
000508.jpg,bird,209,56,29,90
000508.jpg,bird,148,154,74,141
000508.jpg,bird,110,83,73,110
000508.jpg,bird,39,128,61,136
000508.jpg,bird,99,136,60,121
000509.jpg,car,105,113,209,223
000513.jpg,boat,101,107,57,42
000514.jpg,aeroplane,120,112,208,223
000515.jpg,bicycle,9,147,17,56
000515.jpg,person,7,109,13,116
000515.jpg,car,48,112,39,27
000515.jpg,car,75,110,17,20
000516.jpg,cat,160,100,129,92
000516.jpg,person,112,115,224,219
000516.jpg,sofa,112,113,223,223
000518.jpg,person,179,42,16,40
000518.jpg,person,5,149,9,41
000518.jpg,bus,111,130,206,158
000519.jpg,boat,121,108,50,80
000519.jpg,boat,197,128,54,27
000519.jpg,boat,38,111,65,75
000520.jpg,person,137,119,174,167
000522.jpg,car,105,119,178,85
000523.jpg,person,106,80,38,69
000523.jpg,person,154,135,55,103
000523.jpg,person,221,112,6,21
000523.jpg,person,210,108,11,12
000523.jpg,person,198,107,8,7
000523.jpg,person,189,105,11,9
000523.jpg,horse,122,136,189,94
000524.jpg,horse,122,144,81,112
000524.jpg,person,126,110,27,111
000525.jpg,motorbike,211,136,27,55
000525.jpg,motorbike,71,130,54,45
000525.jpg,person,211,113,26,68
000525.jpg,person,61,112,29,72
000526.jpg,person,87,134,25,103
000526.jpg,person,104,136,39,153
000526.jpg,person,157,132,81,166
000526.jpg,person,183,131,30,147
000526.jpg,chair,204,165,30,81
000528.jpg,cat,99,113,87,145
000530.jpg,person,62,117,123,132
000530.jpg,person,130,131,177,164
000530.jpg,person,127,51,39,48
000530.jpg,person,218,56,11,26
000530.jpg,sofa,124,144,199,134
000531.jpg,person,52,125,80,199
000531.jpg,person,115,121,95,204
000531.jpg,person,194,110,60,152
000531.jpg,bottle,179,148,27,102
000531.jpg,bottle,114,139,23,65
000535.jpg,bicycle,122,119,71,68
000535.jpg,bicycle,28,123,53,76
000535.jpg,person,117,88,49,110
000535.jpg,person,16,94,31,108
000535.jpg,person,67,90,18,69
000537.jpg,dog,114,115,128,217
000540.jpg,train,102,131,83,137
000541.jpg,car,59,137,17,12
000541.jpg,car,110,135,20,10
000541.jpg,car,114,137,16,12
000541.jpg,car,120,138,17,12
000541.jpg,car,133,139,34,17
000541.jpg,car,49,130,13,3
000541.jpg,car,53,142,34,13
000541.jpg,person,73,144,6,11
000543.jpg,car,102,128,184,154
000543.jpg,car,26,72,30,30
000543.jpg,car,179,99,90,93
000544.jpg,cat,174,108,92,91
000544.jpg,cat,69,132,137,175
000545.jpg,person,125,145,72,159
000545.jpg,person,184,95,26,34
000545.jpg,person,194,94,13,34
